Klebsiella aerogenes
Klebsiella granulomatis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella pneumoniae ozaenae
Klebsiella pneumoniae pneumoniae
Klebsiella pneumoniae rhinoscleromatis
Klebsiella singaporensis
Klebsiella variicola
Kluyvera
Kluyvera ascorbata
Kluyvera cryocrescens
Kluyvera georgiana
Kluyvera intermedia
Kluyveromyces
Kluyveromyces lactis
Kluyveromyces marxianus
Kocuria
Kocuria kristinae
Kocuria rosea
Kocuria varians
Kodamaea
Kodamaea ohmeri
Kosakonia
Kosakonia cowanii
Kroppenstedtia
Kroppenstedtia eburnea
Kurthia
Kurthia bessoni
Kytococcus
Kytococcus sedentarius
Lachancea
Lachancea fermentati
Lachnoanaerobaculum
Lachnoanaerobaculum orale
Lactobacillus
Lactobacillus acidophilus
Lactobacillus amylovorus
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus gasseri
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus kalixensis
Lactobacillus sakei
Lactobacillus ultunensis
Lactococcus
Lactococcus garvieae
Lactococcus lactis
Lasiodiplodia
Lasiodiplodia theobromae
Lassa virus
Leclercia
Leclercia adecarboxylata
Lecythophora
Lecythophora mutabilis
Legionella
Legionella adelaidensis
Legionella anisa
Legionella beliardensis
Legionella birminghamensis
Legionella bozemanae
Legionella brunensis
Legionella busanensis
Legionella cherrii
Legionella cincinnatiensis
Legionella drancourtii
Legionella drozanskii
Legionella erythra
Legionella fairfieldensis
Legionella fallonii
Legionella feeleii
Legionella geestiana
Legionella gormanii
Legionella hackeliae
Legionella israelensis
Legionella jordanis
Legionella lansingensis
Legionella londiniensis
Legionella longbeachae
Legionella lytica
Legionella maceachernii
Legionella micdadei
Legionella moravica
Legionella nautarum
Legionella oakridgensis
Legionella parisiensis
Legionella pneumophila
Legionella quateirensis
Legionella quinlivanii
Legionella rowbothamii
Legionella santicrucis
Legionella shakespearei
Legionella spiritensis
Legionella steigerwaltii
Legionella taurinensis
